placa,timestamp,cam,faixa,lat,lon,timestamp_legivel,is_clonado,num_infracoes
NMF5X67,1754017422369,CAM085,4,-28.51147,-49.017964,2025-08-01 03:03:42,False,3
YEM1M74,1754017424566,CAM024,1,-26.880835,-49.0316,2025-08-01 03:03:44,False,1
AWJ9S53,1754017427368,CAM037,3,-27.087073,-52.658853,2025-08-01 03:03:47,False,1
UWD8N78,1754017430719,CAM067,1,-27.630914,-48.708228,2025-08-01 03:03:50,False,3
PNQ3X98,1754017432615,CAM049,1,-27.599556,-48.627586,2025-08-01 03:03:52,False,1
POR1Q48,1754017440201,CAM040,1,-26.912173,-48.691725,2025-08-01 03:04:00,False,1
YHE5Y09,1754017442541,CAM062,4,-27.78816,-50.284255,2025-08-01 03:04:02,False,3
WTD3C75,1754017443702,CAM028,2,-26.954251,-49.025974,2025-08-01 03:04:03,False,2
NDQ1U36,1754017445121,CAM014,3,-26.265889,-48.812223,2025-08-01 03:04:05,False,2
QLR5T77,1754017446563,CAM086,1,-26.755225,-51.055358,2025-08-01 03:04:06,False,0
DYZ0V08,1754017446911,CAM085,4,-28.51147,-49.017964,2025-08-01 03:04:06,False,0
MBW4S53,1754017448663,CAM028,3,-26.954251,-49.025974,2025-08-01 03:04:08,False,3
ZLG9T51,1754017451152,CAM079,2,-27.130841,-48.875476,2025-08-01 03:04:11,False,2
ORD0L07,1754017451703,CAM064,3,-27.601727,-48.693852,2025-08-01 03:04:11,False,0
PHL3V16,1754017456443,CAM009,1,-27.567243,-48.582885,2025-08-01 03:04:16,False,0
EIR2B10,1754017458910,CAM086,2,-26.755225,-51.055358,2025-08-01 03:04:18,False,1
RLK9S41,1754017460860,CAM067,3,-27.630914,-48.708228,2025-08-01 03:04:20,False,1
BLK6Q21,1754017463821,CAM080,1,-27.132907,-48.911704,2025-08-01 03:04:23,False,3
UWB5C37,1754017476197,CAM098,1,-27.214437,-49.610042,2025-08-01 03:04:36,False,3
RPF8X41,1754017477456,CAM087,1,-26.79481,-51.034047,2025-08-01 03:04:37,False,0
YHM7Z78,1754017477456,CAM068,2,-26.961254,-48.666952,2025-08-01 03:04:37,False,1
QUY2C44,1754017477828,CAM063,3,-27.687553,-48.68721,2025-08-01 03:04:37,False,0
DFZ8A14,1754017479431,CAM028,3,-26.954251,-49.025974,2025-08-01 03:04:39,False,0
YQG8O95,1754017479789,CAM086,1,-26.755225,-51.055358,2025-08-01 03:04:39,False,2
QWX3G75,1754017480879,CAM003,3,-27.633247,-48.583532,2025-08-01 03:04:40,False,2
MGV4A31,1754017481268,CAM022,1,-26.279524,-48.88648,2025-08-01 03:04:41,False,1
YHC1Z40,1754017483074,CAM092,3,-26.898072,-52.362019,2025-08-01 03:04:43,False,3
FLA4Y17,1754017487548,CAM023,1,-26.873211,-49.109018,2025-08-01 03:04:47,False,0
JWG2X43,1754017488500,CAM032,3,-27.137341,-52.612803,2025-08-01 03:04:48,False,3
HPC4K48,1754017490329,CAM064,2,-27.601727,-48.693852,2025-08-01 03:04:50,False,2
SGA1E56,1754017492547,CAM004,1,-27.614062,-48.518868,2025-08-01 03:04:52,False,0
BHF7Q49,1754017494964,CAM020,4,-26.332262,-48.872393,2025-08-01 03:04:54,False,1
YOA6H61,1754017497692,CAM057,3,-27.833275,-50.340235,2025-08-01 03:04:57,False,1
UIS1G94,1754017504540,CAM069,1,-26.958422,-48.596323,2025-08-01 03:05:04,False,1
ZBJ4R52,1754017506087,CAM037,4,-27.087073,-52.658853,2025-08-01 03:05:06,False,3
YNW4W78,1754017513249,CAM034,1,-27.060368,-52.575929,2025-08-01 03:05:13,False,3
NBV1Y79,1754017513521,CAM072,1,-26.958775,-48.66775,2025-08-01 03:05:13,False,3
ZMY7K36,1754017515022,CAM092,2,-26.898072,-52.362019,2025-08-01 03:05:15,False,1
CJS5U32,1754017525253,CAM025,1,-26.951472,-49.086733,2025-08-01 03:05:25,False,3
AUE5O12,1754017526006,CAM059,1,-27.786213,-50.340794,2025-08-01 03:05:26,False,3
MMI2E27,1754017529935,CAM072,1,-26.958775,-48.66775,2025-08-01 03:05:29,False,3
LIG2A17,1754017533381,CAM030,2,-26.955102,-49.080656,2025-08-01 03:05:33,False,1
VIN3L77,1754017533646,CAM018,2,-26.266313,-48.826993,2025-08-01 03:05:33,False,0
SJN0R55,1754017547875,CAM081,1,-27.060729,-48.883572,2025-08-01 03:05:47,False,3
GHB3F04,1754017548773,CAM044,1,-26.949201,-48.669619,2025-08-01 03:05:48,False,0
YFT5A14,1754017549929,CAM028,2,-26.954251,-49.025974,2025-08-01 03:05:49,False,2
JOH3Y85,1754017556541,CAM080,1,-27.132907,-48.911704,2025-08-01 03:05:56,False,1
VSB0O72,1754017560035,CAM042,1,-26.906459,-48.654455,2025-08-01 03:06:00,False,3
NOU4A47,1754017568595,CAM039,1,-26.910126,-48.698347,2025-08-01 03:06:08,False,2
HOE1R89,1754017570682,CAM058,3,-27.840143,-50.316183,2025-08-01 03:06:10,False,1
BTV8R18,1754017576042,CAM050,1,-27.646843,-48.649557,2025-08-01 03:06:16,False,3
BFL2M58,1754017576179,CAM013,1,-26.326589,-48.854867,2025-08-01 03:06:16,False,2
IML5Q53,1754017581579,CAM050,2,-27.646843,-48.649557,2025-08-01 03:06:21,False,0
ATD7L34,1754017583697,CAM056,1,-28.682354,-49.410267,2025-08-01 03:06:23,False,2
LYF0Q95,1754017583806,CAM040,1,-26.912173,-48.691725,2025-08-01 03:06:23,False,1
CSF0M79,1754017586160,CAM053,2,-28.658134,-49.406352,2025-08-01 03:06:26,False,1
USW5N70,1754017588207,CAM064,1,-27.601727,-48.693852,2025-08-01 03:06:28,False,3
DBW8B44,1754017590542,CAM081,2,-27.060729,-48.883572,2025-08-01 03:06:30,False,2
ZJJ0C92,1754017592958,CAM049,1,-27.599556,-48.627586,2025-08-01 03:06:32,False,2
BQU2E52,1754017593985,CAM055,2,-28.713808,-49.342112,2025-08-01 03:06:33,False,1
IMO8T75,1754017597852,CAM072,1,-26.958775,-48.66775,2025-08-01 03:06:37,False,0
RRB2H62,1754017600053,CAM064,3,-27.601727,-48.693852,2025-08-01 03:06:40,False,0
YYV4S60,1754017600514,CAM040,1,-26.912173,-48.691725,2025-08-01 03:06:40,False,2
YMS6F10,1754017605155,CAM020,2,-26.332262,-48.872393,2025-08-01 03:06:45,False,0
LTZ0C44,1754017611950,CAM055,1,-28.713808,-49.342112,2025-08-01 03:06:51,False,0
ULZ0A39,1754017617419,CAM064,2,-27.601727,-48.693852,2025-08-01 03:06:57,False,0
DOZ6R84,1754017620461,CAM016,1,-26.267182,-48.846597,2025-08-01 03:07:00,False,1
TLZ8O33,1754017621387,CAM006,2,-27.580142,-48.559484,2025-08-01 03:07:01,False,0
JMJ1M03,1754017630977,CAM090,1,-27.195233,-52.020302,2025-08-01 03:07:10,False,1
IPB7V27,1754017633863,CAM028,2,-26.954251,-49.025974,2025-08-01 03:07:13,False,2
VNP5L66,1754017643036,CAM014,1,-26.265889,-48.812223,2025-08-01 03:07:23,False,1
XBS2D35,1754017657588,CAM034,1,-27.060368,-52.575929,2025-08-01 03:07:37,False,3
ODU7Z73,1754017661135,CAM098,1,-27.214437,-49.610042,2025-08-01 03:07:41,False,1
EOF6C77,1754017662028,CAM041,1,-26.919381,-48.656875,2025-08-01 03:07:42,False,1
KHY4E02,1754017662374,CAM076,1,-26.526243,-49.105032,2025-08-01 03:07:42,False,0
BRQ8R60,1754017667759,CAM011,2,-27.589142,-48.533295,2025-08-01 03:07:47,False,2
UKA0H25,1754017667895,CAM051,2,-28.648343,-49.336678,2025-08-01 03:07:47,False,1
NEK4Z51,1754017670191,CAM003,3,-27.633247,-48.583532,2025-08-01 03:07:50,False,1
RGM2U92,1754017673751,CAM096,1,-28.904099,-49.48527,2025-08-01 03:07:53,False,2
YDD0T29,1754017674054,CAM014,2,-26.265889,-48.812223,2025-08-01 03:07:54,False,1
OTE6B49,1754017682694,CAM007,1,-27.574236,-48.513958,2025-08-01 03:08:02,False,1
TEU3O81,1754017683958,CAM041,1,-26.919381,-48.656875,2025-08-01 03:08:03,False,1
ABC1R97,1754017684913,CAM090,2,-27.195233,-52.020302,2025-08-01 03:08:04,False,0
QBC4E50,1754017694021,CAM013,1,-26.326589,-48.854867,2025-08-01 03:08:14,True,20
MLJ7J30,1754017694061,CAM020,2,-26.332262,-48.872393,2025-08-01 03:08:14,False,3
MKW8L50,1754017695262,CAM038,4,-27.130312,-52.621499,2025-08-01 03:08:15,False,0
PTH0H10,1754017700473,CAM003,1,-27.633247,-48.583532,2025-08-01 03:08:20,False,1
RSU0V16,1754017707612,CAM071,1,-26.996525,-48.607696,2025-08-01 03:08:27,False,0
MNE1V93,1754017710534,CAM059,2,-27.786213,-50.340794,2025-08-01 03:08:30,False,0
LHP3W20,1754017714385,CAM028,3,-26.954251,-49.025974,2025-08-01 03:08:34,False,2
CJM8F07,1754017726445,CAM055,1,-28.713808,-49.342112,2025-08-01 03:08:46,False,0
XSB7W38,1754017731034,CAM043,1,-26.899172,-48.629892,2025-08-01 03:08:51,False,2
KXX8N89,1754017731700,CAM061,4,-27.823777,-50.309457,2025-08-01 03:08:51,False,0
FRF2O44,1754017733995,CAM021,2,-26.276384,-48.856475,2025-08-01 03:08:53,False,3
PED9S76,1754017734111,CAM034,1,-27.060368,-52.575929,2025-08-01 03:08:54,False,1
VMK6H23,1754017735979,CAM090,2,-27.195233,-52.020302,2025-08-01 03:08:55,False,0
WBK8V35,1754017739426,CAM007,1,-27.574236,-48.513958,2025-08-01 03:08:59,False,2
FSH4W88,1754017740062,CAM014,2,-26.265889,-48.812223,2025-08-01 03:09:00,False,3
KBX6E93,1754017746225,CAM095,1,-28.941527,-49.53719,2025-08-01 03:09:06,False,3
PJA1F95,1754017749176,CAM033,2,-27.06419,-52.596908,2025-08-01 03:09:09,False,0
NMF5X67,1754017749369,CAM082,1,-28.512617,-49.028273,2025-08-01 03:09:09,False,3
HCL7W40,1754017750519,CAM089,1,-27.274403,-51.982845,2025-08-01 03:09:10,False,1
TQE4O88,1754017750756,CAM079,3,-27.130841,-48.875476,2025-08-01 03:09:10,False,3
JXD7D07,1754017751940,CAM088,3,-26.736666,-50.992871,2025-08-01 03:09:11,False,2
TRS1K89,1754017756610,CAM056,1,-28.682354,-49.410267,2025-08-01 03:09:16,False,2
SLI4O72,1754017760215,CAM033,1,-27.06419,-52.596908,2025-08-01 03:09:20,False,3
CIT6M79,1754017764887,CAM093,3,-26.920132,-52.440308,2025-08-01 03:09:24,False,0
CXT3K91,1754017767272,CAM022,1,-26.279524,-48.88648,2025-08-01 03:09:27,False,2
SHU9T76,1754017768638,CAM051,1,-28.648343,-49.336678,2025-08-01 03:09:28,False,2
MSV4L84,1754017769673,CAM025,1,-26.951472,-49.086733,2025-08-01 03:09:29,False,3
IWZ4U66,1754017770491,CAM063,1,-27.687553,-48.68721,2025-08-01 03:09:30,False,0
YPQ3R58,1754017771726,CAM058,1,-27.840143,-50.316183,2025-08-01 03:09:31,False,1
VVY4T86,1754017778406,CAM016,1,-26.267182,-48.846597,2025-08-01 03:09:38,False,1
VZG2J83,1754017781827,CAM087,1,-26.79481,-51.034047,2025-08-01 03:09:41,False,2
ETG8F60,1754017785327,CAM039,2,-26.910126,-48.698347,2025-08-01 03:09:45,False,0
BEB5C43,1754017786596,CAM045,2,-27.649812,-48.673855,2025-08-01 03:09:46,False,2
DSP8T30,1754017790246,CAM031,3,-27.131497,-52.592651,2025-08-01 03:09:50,False,2
FBN5V06,1754017792480,CAM023,1,-26.873211,-49.109018,2025-08-01 03:09:52,False,3
RMJ9O65,1754017796670,CAM044,1,-26.949201,-48.669619,2025-08-01 03:09:56,False,3
MQI7C58,1754017801755,CAM069,1,-26.958422,-48.596323,2025-08-01 03:10:01,False,0
TWA6Y79,1754017803090,CAM049,1,-27.599556,-48.627586,2025-08-01 03:10:03,False,3
ZJK7O84,1754017806408,CAM027,1,-26.912119,-49.101786,2025-08-01 03:10:06,False,3
TOW8Z69,1754017808451,CAM023,1,-26.873211,-49.109018,2025-08-01 03:10:08,False,0
XZD5H05,1754017811245,CAM087,1,-26.79481,-51.034047,2025-08-01 03:10:11,False,2
YRA5P77,1754017816183,CAM044,1,-26.949201,-48.669619,2025-08-01 03:10:16,False,3
DLM4S11,1754017818433,CAM015,2,-26.33471,-48.851695,2025-08-01 03:10:18,False,1
NDG8L62,1754017818628,CAM035,1,-27.072321,-52.590056,2025-08-01 03:10:18,False,0
UWD8N78,1754017818719,CAM064,1,-27.601727,-48.693852,2025-08-01 03:10:18,False,3
JII1Z41,1754017819080,CAM100,3,-26.201103,-50.385585,2025-08-01 03:10:19,False,3
OKU6B53,1754017823959,CAM041,1,-26.919381,-48.656875,2025-08-01 03:10:23,False,2
HFB3O27,1754017826028,CAM010,1,-27.627345,-48.538823,2025-08-01 03:10:26,False,3
LKP0K49,1754017828722,CAM052,1,-28.721326,-49.364506,2025-08-01 03:10:28,False,2
EEZ2A89,1754017828832,CAM063,3,-27.687553,-48.68721,2025-08-01 03:10:28,False,2
CRT9P19,1754017836424,CAM058,1,-27.840143,-50.316183,2025-08-01 03:10:36,False,0
PFC6J80,1754017836654,CAM071,1,-26.996525,-48.607696,2025-08-01 03:10:36,False,0
TGE6J97,1754017839319,CAM065,4,-27.677998,-48.669561,2025-08-01 03:10:39,False,0
UNB5Y93,1754017843541,CAM039,1,-26.910126,-48.698347,2025-08-01 03:10:43,False,1
AOG9D27,1754017846989,CAM035,1,-27.072321,-52.590056,2025-08-01 03:10:46,False,0
WAN6D99,1754017850299,CAM003,1,-27.633247,-48.583532,2025-08-01 03:10:50,False,3
WRC6P50,1754017850516,CAM020,2,-26.332262,-48.872393,2025-08-01 03:10:50,False,3
VWQ1T02,1754017855807,CAM087,1,-26.79481,-51.034047,2025-08-01 03:10:55,False,3
XTV2W65,1754017860648,CAM066,2,-27.627305,-48.634474,2025-08-01 03:11:00,False,0
POL2G27,1754017862785,CAM030,1,-26.955102,-49.080656,2025-08-01 03:11:02,False,3
CZX4U17,1754017863021,CAM030,1,-26.955102,-49.080656,2025-08-01 03:11:03,False,1
KUT0Y64,1754017863279,CAM086,2,-26.755225,-51.055358,2025-08-01 03:11:03,False,3
BXF5J71,1754017865835,CAM072,1,-26.958775,-48.66775,2025-08-01 03:11:05,False,1
CKS3K02,1754017868528,CAM016,1,-26.267182,-48.846597,2025-08-01 03:11:08,False,2
TAX8F56,1754017868572,CAM051,1,-28.648343,-49.336678,2025-08-01 03:11:08,False,2
LEQ9C14,1754017871002,CAM039,2,-26.910126,-48.698347,2025-08-01 03:11:11,False,0
JXE6K37,1754017872332,CAM088,2,-26.736666,-50.992871,2025-08-01 03:11:12,False,1
IZY3A30,1754017872491,CAM014,1,-26.265889,-48.812223,2025-08-01 03:11:12,False,3
YEI1O97,1754017875162,CAM081,1,-27.060729,-48.883572,2025-08-01 03:11:15,False,3
WJJ5F75,1754017887191,CAM009,1,-27.567243,-48.582885,2025-08-01 03:11:27,False,3
KYZ4T38,1754017887776,CAM078,3,-27.063181,-48.898808,2025-08-01 03:11:27,False,3
QDT4U18,1754017888273,CAM058,1,-27.840143,-50.316183,2025-08-01 03:11:28,False,3
WAE0C56,1754017902790,CAM027,1,-26.912119,-49.101786,2025-08-01 03:11:42,False,1
SOL8N97,1754017902934,CAM099,2,-28.514657,-48.811633,2025-08-01 03:11:42,False,0
OPE0I23,1754017906055,CAM017,2,-26.263496,-48.886535,2025-08-01 03:11:46,False,3
FIF8N99,1754017909072,CAM012,2,-27.571026,-48.575134,2025-08-01 03:11:49,False,2
IYD8K65,1754017912940,CAM067,1,-27.630914,-48.708228,2025-08-01 03:11:52,False,1
BMT0L24,1754017914650,CAM024,1,-26.880835,-49.0316,2025-08-01 03:11:54,False,0
YOA6H61,1754017918692,CAM060,2,-27.811054,-50.344481,2025-08-01 03:11:58,False,1
EOI0S68,1754017921918,CAM062,4,-27.78816,-50.284255,2025-08-01 03:12:01,False,3
BSJ5X81,1754017923522,CAM068,1,-26.961254,-48.666952,2025-08-01 03:12:03,False,1
TXE4Q11,1754017926432,CAM042,1,-26.906459,-48.654455,2025-08-01 03:12:06,False,2
NDP6R60,1754017928912,CAM015,1,-26.33471,-48.851695,2025-08-01 03:12:08,False,1
QBC4E50,1754017932021,CAM051,2,-28.648343,-49.336678,2025-08-01 03:12:12,True,20
AXH7L01,1754017933263,CAM043,2,-26.899172,-48.629892,2025-08-01 03:12:13,False,1
NSU3G27,1754017934617,CAM048,4,-27.576322,-48.602478,2025-08-01 03:12:14,False,1
GBE2J39,1754017935741,CAM011,1,-27.589142,-48.533295,2025-08-01 03:12:15,False,1
CHG3B91,1754017936627,CAM081,3,-27.060729,-48.883572,2025-08-01 03:12:16,False,2
URO4S71,1754017941296,CAM047,1,-27.654619,-48.648046,2025-08-01 03:12:21,False,0
MYY8B29,1754017944282,CAM073,2,-26.508796,-49.085507,2025-08-01 03:12:24,False,2
ALG4P54,1754017954517,CAM063,3,-27.687553,-48.68721,2025-08-01 03:12:34,False,3
LUU2S57,1754017954651,CAM056,2,-28.682354,-49.410267,2025-08-01 03:12:34,False,1
CGH7D47,1754017955416,CAM055,1,-28.713808,-49.342112,2025-08-01 03:12:35,False,2
AJD5M52,1754017957104,CAM084,1,-28.448288,-48.998988,2025-08-01 03:12:37,False,2
DIA5I54,1754017963025,CAM031,1,-27.131497,-52.592651,2025-08-01 03:12:43,False,2
JVC5Y52,1754017966813,CAM005,2,-27.577559,-48.558811,2025-08-01 03:12:46,False,0
XDQ5A88,1754017972424,CAM044,1,-26.949201,-48.669619,2025-08-01 03:12:52,False,0
ZBL5W92,1754017976420,CAM070,1,-27.008143,-48.663002,2025-08-01 03:12:56,False,1
EDT9D91,1754017977848,CAM014,3,-26.265889,-48.812223,2025-08-01 03:12:57,False,3
ICX2B43,1754017977956,CAM042,1,-26.906459,-48.654455,2025-08-01 03:12:57,False,3
CJD4M03,1754017987822,CAM091,2,-27.259224,-52.058796,2025-08-01 03:13:07,False,1
ALP4F50,1754017994666,CAM039,1,-26.910126,-48.698347,2025-08-01 03:13:14,False,2
HDH5X75,1754017997510,CAM018,2,-26.266313,-48.826993,2025-08-01 03:13:17,False,2
YDR7S93,1754018004389,CAM050,2,-27.646843,-48.649557,2025-08-01 03:13:24,False,3
BOE4W34,1754018007177,CAM092,1,-26.898072,-52.362019,2025-08-01 03:13:27,False,1
ENW1R31,1754018009500,CAM094,1,-26.856715,-52.412829,2025-08-01 03:13:29,False,3
GQC5Z64,1754018016200,CAM014,3,-26.265889,-48.812223,2025-08-01 03:13:36,False,2
JGP1L71,1754018019160,CAM079,3,-27.130841,-48.875476,2025-08-01 03:13:39,False,1
UYA3A97,1754018020775,CAM025,1,-26.951472,-49.086733,2025-08-01 03:13:40,False,2
OEG1B21,1754018028995,CAM059,1,-27.786213,-50.340794,2025-08-01 03:13:48,False,3
AZV1H10,1754018032583,CAM082,2,-28.512617,-49.028273,2025-08-01 03:13:52,False,0
NOP2T45,1754018033737,CAM018,1,-26.266313,-48.826993,2025-08-01 03:13:53,False,0
FVO7P40,1754018035521,CAM032,3,-27.137341,-52.612803,2025-08-01 03:13:55,False,1
XRN6T17,1754018037602,CAM004,1,-27.614062,-48.518868,2025-08-01 03:13:57,False,0
FGC8V61,1754018040075,CAM022,1,-26.279524,-48.88648,2025-08-01 03:14:00,False,0
AVE5K82,1754018041987,CAM042,1,-26.906459,-48.654455,2025-08-01 03:14:01,False,0
IYA9X15,1754018042966,CAM049,1,-27.599556,-48.627586,2025-08-01 03:14:02,False,1
EWU8T78,1754018043307,CAM058,2,-27.840143,-50.316183,2025-08-01 03:14:03,False,0
TGQ1F84,1754018043399,CAM099,1,-28.514657,-48.811633,2025-08-01 03:14:03,False,0
ALV4V52,1754018045971,CAM069,1,-26.958422,-48.596323,2025-08-01 03:14:05,False,0
RSD7S94,1754018053586,CAM087,2,-26.79481,-51.034047,2025-08-01 03:14:13,False,2
TWP5L08,1754018055615,CAM051,1,-28.648343,-49.336678,2025-08-01 03:14:15,False,2
YCR6D32,1754018057458,CAM044,1,-26.949201,-48.669619,2025-08-01 03:14:17,False,1
