placa,timestamp,cam,faixa,lat,lon,timestamp_legivel,is_clonado,num_infracoes,marca,modelo,tipo,cor
SIS3C80,1754017307164,CAM155,1,-27.082952,-48.952211,2025-08-01 03:01:47,False,0,Renault,Sandero,passeio,branco
TSA7U11,1754017308348,CAM076,3,-27.130293,-52.57748,2025-08-01 03:01:48,False,1,Volkswagen,Gol,passeio,prata
NCE8E94,1754017308816,CAM098,2,-27.617627,-48.592532,2025-08-01 03:01:48,False,0,Fiat,Uno,passeio,branco
YRN6Z14,1754017310949,CAM154,1,-26.473045,-49.043818,2025-08-01 03:01:50,False,3,Ford,EcoSport,SUV,azul
XSY2N02,1754017311003,CAM137,2,-26.97873,-48.610666,2025-08-01 03:01:51,False,1,Ford,Fusion,passeio,preto
SGO3Z11,1754017314986,CAM194,1,-27.245261,-49.632704,2025-08-01 03:01:54,False,2,Peugeot,208,passeio,amarelo
CFP6D11,1754017318955,CAM189,2,-28.941328,-49.528237,2025-08-01 03:01:58,False,0,Jeep,Renegade,SUV,cinza
DZV3G71,1754017320398,CAM039,1,-26.312519,-48.881679,2025-08-01 03:02:00,False,3,Yamaha,Fazer 250,moto,amarelo
RGP0B60,1754017325628,CAM001,3,-27.631717,-48.554237,2025-08-01 03:02:05,False,0,Hyundai,Azera,passeio,preto
WZZ3W28,1754017325744,CAM052,1,-26.89683,-49.05274,2025-08-01 03:02:05,False,3,Volkswagen,Virtus,passeio,prata
VEY3R04,1754017327587,CAM198,1,-28.479956,-48.80778,2025-08-01 03:02:07,False,1,Toyota,SW4,SUV,preto
YHG6B27,1754017330943,CAM090,1,-27.616384,-48.670803,2025-08-01 03:02:10,False,0,Honda,Civic,passeio,branco
BQD9J07,1754017332543,CAM115,1,-27.821184,-50.321457,2025-08-01 03:02:12,False,0,Yamaha,Fazer 250,moto,marrom
SNN0A46,1754017333815,CAM110,4,-28.690661,-49.338814,2025-08-01 03:02:13,False,1,Suzuki,Intruder 250,moto,cinza
FPP3Y44,1754017334792,CAM029,1,-26.287583,-48.832416,2025-08-01 03:02:14,False,2,Renault,Kwid,passeio,branco
QUM5V86,1754017334963,CAM104,2,-28.710023,-49.381348,2025-08-01 03:02:14,False,1,Hyundai,Creta,SUV,cinza
NJI0O71,1754017335753,CAM011,2,-27.565716,-48.544893,2025-08-01 03:02:15,False,3,Renault,Duster,SUV,vermelho
KEZ3I67,1754017336007,CAM050,1,-26.919434,-49.051354,2025-08-01 03:02:16,False,1,Yamaha,XTZ 150,moto,amarelo
VCZ2A12,1754017337920,CAM102,4,-28.683812,-49.399531,2025-08-01 03:02:17,True,11,Peugeot,308,passeio,preto
HOY7J94,1754017338192,CAM013,1,-27.570447,-48.556251,2025-08-01 03:02:18,False,0,Yamaha,XTZ 150,moto,preto
EEU5E20,1754017339504,CAM063,2,-27.06013,-52.635457,2025-08-01 03:02:19,False,3,Toyota,Etios,passeio,preto
KMV5Q23,1754017339867,CAM081,1,-26.882216,-48.678804,2025-08-01 03:02:19,False,1,Volkswagen,Voyage,passeio,cinza
YYK3A22,1754017341452,CAM005,2,-27.614434,-48.535145,2025-08-01 03:02:21,False,0,Chevrolet,Prisma,passeio,cinza
YVB3X50,1754017345201,CAM064,2,-27.066532,-52.62192,2025-08-01 03:02:25,False,2,Hyundai,Creta,SUV,branco
QJE4S38,1754017348545,CAM090,1,-27.616384,-48.670803,2025-08-01 03:02:28,False,1,Suzuki,Intruder 250,moto,preto
UBH1G52,1754017350070,CAM140,1,-26.987344,-48.600803,2025-08-01 03:02:30,False,0,Suzuki,Intruder 250,moto,preto
RTX9L85,1754017351559,CAM198,1,-28.479956,-48.80778,2025-08-01 03:02:31,False,0,Hyundai,Tucson,SUV,prata
QWX8C04,1754017353525,CAM056,1,-26.918646,-49.027384,2025-08-01 03:02:33,False,0,Volkswagen,Polo,passeio,cinza
QWA2O78,1754017355498,CAM066,1,-27.104314,-52.620523,2025-08-01 03:02:35,False,1,Hyundai,Azera,passeio,cinza
VDP8O35,1754017355687,CAM121,1,-27.859431,-50.321642,2025-08-01 03:02:35,False,0,Chevrolet,S10,caminhão,preto
XQF3X84,1754017360090,CAM106,1,-28.652703,-49.403401,2025-08-01 03:02:40,False,2,Chevrolet,Tracker,SUV,prata
CAF5T77,1754017360374,CAM062,2,-27.102819,-52.65594,2025-08-01 03:02:40,False,1,Hyundai,HB20,passeio,cinza
ETM7J37,1754017360464,CAM006,1,-27.60575,-48.553193,2025-08-01 03:02:40,False,0,Peugeot,208,passeio,vermelho
KGA7F43,1754017363239,CAM064,4,-27.066532,-52.62192,2025-08-01 03:02:43,False,1,Peugeot,2008,SUV,preto
BCY9V60,1754017366972,CAM039,1,-26.312519,-48.881679,2025-08-01 03:02:46,False,3,Renault,Duster,SUV,branco
LGQ4W77,1754017369382,CAM150,3,-26.445734,-49.066075,2025-08-01 03:02:49,False,0,Volkswagen,Gol,passeio,branco
NZB7Q17,1754017371578,CAM198,1,-28.479956,-48.80778,2025-08-01 03:02:51,False,2,Peugeot,308,passeio,cinza
XEF5K79,1754017371697,CAM047,1,-26.8729,-49.052994,2025-08-01 03:02:51,False,1,Suzuki,Yes 125,moto,cinza
YRN1C59,1754017372015,CAM085,2,-26.921702,-48.66618,2025-08-01 03:02:52,False,1,Fiat,Toro,utilitário,preto
FIS6U34,1754017374103,CAM197,1,-28.481939,-48.782628,2025-08-01 03:02:54,False,3,Chevrolet,Spin,SUV,verde
GYM3M51,1754017374859,CAM129,1,-27.649295,-48.646973,2025-08-01 03:02:54,False,3,Jeep,Compass,SUV,branco
ZPJ0W64,1754017375598,CAM048,4,-26.944313,-49.072202,2025-08-01 03:02:55,False,2,Hyundai,HB20,passeio,branco
TES1S38,1754017377284,CAM089,2,-27.651578,-48.613536,2025-08-01 03:02:57,False,1,Jeep,Commander,SUV,vermelho
MGA8J67,1754017378666,CAM120,2,-27.771866,-50.346122,2025-08-01 03:02:58,False,3,Chevrolet,Spin,SUV,branco
BUE9Z39,1754017382696,CAM188,2,-26.836809,-52.394925,2025-08-01 03:03:02,False,1,Honda,Fit,passeio,vermelho
BXV1S64,1754017386732,CAM199,2,-26.20946,-50.413309,2025-08-01 03:03:06,False,0,Volkswagen,T-Cross,SUV,prata
OMU9X85,1754017388020,CAM068,1,-27.082565,-52.613223,2025-08-01 03:03:08,False,2,Toyota,Hilux,utilitário,cinza
AZA2B43,1754017388704,CAM052,3,-26.89683,-49.05274,2025-08-01 03:03:08,False,0,Hyundai,Azera,passeio,preto
ZOP4B71,1754017394895,CAM038,1,-26.283663,-48.863135,2025-08-01 03:03:14,False,0,Yamaha,XTZ 150,moto,prata
QOL6D56,1754017395135,CAM058,2,-26.902802,-49.071957,2025-08-01 03:03:15,False,3,Volkswagen,Voyage,passeio,branco
XXC5S82,1754017397087,CAM132,1,-27.644014,-48.630495,2025-08-01 03:03:17,False,0,Ford,Fusion,passeio,cinza
ION0K30,1754017399265,CAM163,2,-28.429647,-49.042934,2025-08-01 03:03:19,False,1,Jeep,Compass,SUV,preto
SLY8N62,1754017399423,CAM149,1,-26.457546,-49.037446,2025-08-01 03:03:19,False,2,Peugeot,308,passeio,branco
PMQ7J10,1754017400415,CAM137,1,-26.97873,-48.610666,2025-08-01 03:03:20,False,0,Peugeot,208,passeio,prata
NQI1D27,1754017400472,CAM057,2,-26.897963,-49.114042,2025-08-01 03:03:20,False,0,Renault,Duster,SUV,prata
IOC6Q12,1754017403945,CAM175,1,-26.798452,-51.053276,2025-08-01 03:03:23,False,1,Ford,Fusion,passeio,vermelho
FZN3M39,1754017404885,CAM044,1,-26.322284,-48.850382,2025-08-01 03:03:24,False,3,Hyundai,Azera,passeio,prata
JVR0S55,1754017407129,CAM097,4,-27.650848,-48.6393,2025-08-01 03:03:27,False,0,Suzuki,Intruder 250,moto,vermelho
OLR0N17,1754017408681,CAM040,2,-26.269033,-48.882944,2025-08-01 03:03:28,False,0,Renault,Logan,passeio,cinza
QUR5F20,1754017409591,CAM069,3,-27.14294,-52.61911,2025-08-01 03:03:29,False,3,Yamaha,Fazer 250,moto,cinza
CXV6Q25,1754017412058,CAM055,1,-26.955603,-49.042023,2025-08-01 03:03:32,False,1,Peugeot,308,passeio,branco
QEM4F64,1754017413770,CAM010,1,-27.586721,-48.561932,2025-08-01 03:03:33,False,3,Fiat,Strada,utilitário,branco
GBB7L86,1754017415968,CAM132,1,-27.644014,-48.630495,2025-08-01 03:03:35,False,3,Peugeot,208,passeio,cinza
QCT5C17,1754017416654,CAM163,1,-28.429647,-49.042934,2025-08-01 03:03:36,False,1,Volkswagen,Voyage,passeio,preto
ZYY1K03,1754017424717,CAM034,2,-26.336605,-48.804513,2025-08-01 03:03:44,False,0,Jeep,Compass,SUV,branco
XEZ5K83,1754017426238,CAM063,1,-27.06013,-52.635457,2025-08-01 03:03:46,False,1,Fiat,Toro,utilitário,amarelo
QOH0D30,1754017426498,CAM131,4,-27.629418,-48.64674,2025-08-01 03:03:46,False,1,Honda,CG 160,moto,preto
ALZ7W97,1754017426583,CAM054,3,-26.915777,-49.055179,2025-08-01 03:03:46,False,1,Volkswagen,Gol,passeio,branco
WLN4L74,1754017427793,CAM074,3,-27.119244,-52.581235,2025-08-01 03:03:47,False,1,Jeep,Commander,SUV,cinza
YKO1K35,1754017432510,CAM183,3,-26.850207,-52.425759,2025-08-01 03:03:52,False,3,Suzuki,Intruder 250,moto,prata
TBP3W58,1754017435465,CAM188,2,-26.836809,-52.394925,2025-08-01 03:03:55,False,1,Jeep,Renegade,SUV,cinza
KZJ6F12,1754017435813,CAM047,1,-26.8729,-49.052994,2025-08-01 03:03:55,False,3,Fiat,Uno,passeio,prata
NQN2M45,1754017440218,CAM088,1,-26.889507,-48.649427,2025-08-01 03:04:00,False,3,Ford,EcoSport,SUV,prata
SSX8P28,1754017440660,CAM130,3,-27.689231,-48.625452,2025-08-01 03:04:00,False,3,Hyundai,Tucson,SUV,laranja
ZNX2E27,1754017441975,CAM127,2,-27.633636,-48.639985,2025-08-01 03:04:01,False,3,Volkswagen,T-Cross,SUV,cinza
SBD9J01,1754017442563,CAM043,2,-26.341687,-48.827715,2025-08-01 03:04:02,False,3,Renault,Duster,SUV,prata
MOE2Q29,1754017442857,CAM061,1,-27.057861,-52.599345,2025-08-01 03:04:02,True,6,Renault,Duster,SUV,preto
OCS9M90,1754017446317,CAM031,1,-26.31596,-48.843758,2025-08-01 03:04:06,False,3,Suzuki,Intruder 250,moto,branco
CKT2A42,1754017448335,CAM019,1,-27.606781,-48.52931,2025-08-01 03:04:08,False,1,Fiat,Uno,passeio,cinza
RWL7Y85,1754017449809,CAM105,1,-28.661521,-49.371086,2025-08-01 03:04:09,False,3,Suzuki,Intruder 250,moto,branco
PQZ0E51,1754017452029,CAM006,3,-27.60575,-48.553193,2025-08-01 03:04:12,False,0,Ford,Fiesta,passeio,marrom
RZT8X31,1754017452860,CAM121,1,-27.859431,-50.321642,2025-08-01 03:04:12,False,1,Toyota,Corolla,passeio,vermelho
AAB0E25,1754017454323,CAM012,1,-27.629285,-48.517849,2025-08-01 03:04:14,False,2,Hyundai,Creta,SUV,vermelho
CZF7G55,1754017457457,CAM032,2,-26.348933,-48.805787,2025-08-01 03:04:17,False,3,Jeep,Commander,SUV,preto
YLB3E78,1754017458307,CAM092,3,-27.629977,-48.61518,2025-08-01 03:04:18,False,1,Honda,Fit,passeio,branco
NWY8T34,1754017460097,CAM139,1,-26.964187,-48.632978,2025-08-01 03:04:20,False,0,Peugeot,208,passeio,preto
ISG7M33,1754017460565,CAM151,4,-26.478697,-49.100757,2025-08-01 03:04:20,False,3,Hyundai,Azera,passeio,branco
MCP3V08,1754017463092,CAM159,1,-27.057398,-48.939781,2025-08-01 03:04:23,False,0,Volkswagen,Gol,passeio,cinza
ERO8Y61,1754017463342,CAM085,3,-26.921702,-48.66618,2025-08-01 03:04:23,False,2,Fiat,Toro,utilitário,prata
LHV9R68,1754017463769,CAM078,1,-26.947725,-48.636669,2025-08-01 03:04:23,False,2,Hyundai,Creta,SUV,laranja
REB8E27,1754017464515,CAM184,1,-26.865427,-52.423972,2025-08-01 03:04:24,False,3,Volkswagen,Voyage,passeio,verde
POF6Y57,1754017465025,CAM129,1,-27.649295,-48.646973,2025-08-01 03:04:25,False,0,Volkswagen,Virtus,passeio,cinza
VBQ3L90,1754017466716,CAM110,4,-28.690661,-49.338814,2025-08-01 03:04:26,False,0,Chevrolet,Onix,passeio,prata
ROT5R61,1754017469285,CAM126,1,-27.605195,-48.641829,2025-08-01 03:04:29,False,3,Suzuki,Intruder 250,moto,prata
ZJO4R51,1754017469491,CAM027,1,-26.306485,-48.822893,2025-08-01 03:04:29,False,2,Chevrolet,Prisma,passeio,branco
JZY9Y01,1754017470347,CAM080,1,-26.930488,-48.708528,2025-08-01 03:04:30,False,3,Yamaha,XTZ 150,moto,prata
NHE9C08,1754017471858,CAM089,4,-27.651578,-48.613536,2025-08-01 03:04:31,False,2,Honda,Biz,moto,prata
TKP2F68,1754017472967,CAM012,2,-27.629285,-48.517849,2025-08-01 03:04:32,False,2,Peugeot,208,passeio,branco
MUB3S85,1754017473328,CAM068,1,-27.082565,-52.613223,2025-08-01 03:04:33,False,2,Volkswagen,Virtus,passeio,branco
ZHO1H07,1754017476991,CAM062,4,-27.102819,-52.65594,2025-08-01 03:04:36,False,0,Honda,Civic,passeio,amarelo
AFG5C25,1754017480001,CAM149,1,-26.457546,-49.037446,2025-08-01 03:04:40,False,2,Peugeot,208,passeio,cinza
GPR9K68,1754017480466,CAM056,3,-26.918646,-49.027384,2025-08-01 03:04:40,False,0,Honda,Fit,passeio,amarelo
TGB5M79,1754017481345,CAM182,1,-27.255499,-52.001583,2025-08-01 03:04:41,False,1,Volkswagen,T-Cross,SUV,preto
QFW9G43,1754017483765,CAM054,1,-26.915777,-49.055179,2025-08-01 03:04:43,False,1,Jeep,Renegade,SUV,branco
RMG9I12,1754017485557,CAM049,1,-26.910477,-49.094497,2025-08-01 03:04:45,False,0,Ford,Ka,passeio,preto
DBH0J79,1754017488338,CAM089,4,-27.651578,-48.613536,2025-08-01 03:04:48,False,1,Suzuki,Intruder 250,moto,vermelho
VCZ2A12,1754017491920,CAM025,4,-26.301689,-48.820099,2025-08-01 03:04:51,True,11,Peugeot,308,passeio,preto
UDW3B02,1754017495554,CAM010,2,-27.586721,-48.561932,2025-08-01 03:04:55,False,1,Peugeot,308,passeio,prata
ZES9Z70,1754017495869,CAM038,1,-26.283663,-48.863135,2025-08-01 03:04:55,False,2,Toyota,Corolla,passeio,laranja
VST3K39,1754017499937,CAM096,2,-27.56932,-48.610101,2025-08-01 03:04:59,False,0,Ford,Ranger,caminhão,verde
OFG6F16,1754017500181,CAM008,1,-27.594792,-48.509479,2025-08-01 03:05:00,False,3,Honda,HR-V,SUV,cinza
TYV5G21,1754017501617,CAM080,1,-26.930488,-48.708528,2025-08-01 03:05:01,False,0,Jeep,Compass,SUV,branco
SVR4J22,1754017501849,CAM097,4,-27.650848,-48.6393,2025-08-01 03:05:01,False,0,Fiat,Toro,utilitário,marrom
TYB3B30,1754017503674,CAM038,3,-26.283663,-48.863135,2025-08-01 03:05:03,False,3,Chevrolet,S10,caminhão,cinza
IPX6G06,1754017503777,CAM021,3,-27.633844,-48.582694,2025-08-01 03:05:03,False,1,Yamaha,Factor 125,moto,preto
WYV7P91,1754017505303,CAM121,1,-27.859431,-50.321642,2025-08-01 03:05:05,False,2,Hyundai,Tucson,SUV,branco
VPE8O77,1754017507723,CAM013,1,-27.570447,-48.556251,2025-08-01 03:05:07,False,0,Peugeot,208,passeio,preto
IAB1I99,1754017512214,CAM017,1,-27.590844,-48.531923,2025-08-01 03:05:12,False,1,Chevrolet,Prisma,passeio,preto
XJJ9E17,1754017512496,CAM056,3,-26.918646,-49.027384,2025-08-01 03:05:12,False,3,Honda,Biz,moto,marrom
NHZ4V30,1754017513676,CAM056,3,-26.918646,-49.027384,2025-08-01 03:05:13,False,3,Honda,Biz,moto,branco
DJB6O43,1754017514534,CAM187,1,-26.91981,-52.382245,2025-08-01 03:05:14,False,2,Ford,Ka,passeio,marrom
XJA3Y91,1754017515672,CAM198,1,-28.479956,-48.80778,2025-08-01 03:05:15,False,2,Ford,Fiesta,passeio,preto
LDY4J07,1754017516843,CAM048,2,-26.944313,-49.072202,2025-08-01 03:05:16,False,0,Volkswagen,T-Cross,SUV,preto
XTE6Y80,1754017518028,CAM147,1,-26.45371,-49.073809,2025-08-01 03:05:18,False,0,Chevrolet,Spin,SUV,vermelho
ARS1J24,1754017518181,CAM162,2,-27.075323,-48.938022,2025-08-01 03:05:18,False,2,Hyundai,Tucson,SUV,amarelo
MOE2Q29,1754017519857,CAM101,1,-28.652139,-49.339686,2025-08-01 03:05:19,True,6,Renault,Duster,SUV,preto
XFW1F15,1754017520055,CAM082,1,-26.917426,-48.636729,2025-08-01 03:05:20,False,2,Suzuki,Intruder 250,moto,laranja
OEH5M70,1754017520505,CAM193,1,-27.238515,-49.660559,2025-08-01 03:05:20,False,2,Chevrolet,Prisma,passeio,branco
RHR8A17,1754017522804,CAM027,1,-26.306485,-48.822893,2025-08-01 03:05:22,False,1,Yamaha,Fazer 250,moto,prata
WWL7Y12,1754017523618,CAM142,1,-27.034818,-48.619787,2025-08-01 03:05:23,False,3,Ford,Ka,passeio,prata
ULF5H88,1754017524252,CAM131,2,-27.629418,-48.64674,2025-08-01 03:05:24,False,0,Honda,Biz,moto,azul
KAR6O18,1754017524282,CAM136,1,-27.02723,-48.590741,2025-08-01 03:05:24,False,0,Renault,Logan,passeio,branco
JWX2M70,1754017524766,CAM055,1,-26.955603,-49.042023,2025-08-01 03:05:24,False,0,Yamaha,XTZ 150,moto,prata
RLG8F28,1754017527022,CAM036,1,-26.320871,-48.81729,2025-08-01 03:05:27,False,1,Renault,Sandero,passeio,prata
CMA8L64,1754017528261,CAM082,1,-26.917426,-48.636729,2025-08-01 03:05:28,False,3,Chevrolet,S10,caminhão,azul
QBP2J09,1754017529093,CAM033,2,-26.319404,-48.877068,2025-08-01 03:05:29,False,3,Fiat,Strada,utilitário,prata
UTP3B43,1754017529830,CAM007,1,-27.627155,-48.528782,2025-08-01 03:05:29,False,1,Hyundai,Azera,passeio,branco
KKL6H02,1754017530092,CAM090,1,-27.616384,-48.670803,2025-08-01 03:05:30,False,1,Suzuki,Yes 125,moto,branco
HEW8A41,1754017534367,CAM103,1,-28.650421,-49.365419,2025-08-01 03:05:34,False,1,Peugeot,2008,SUV,preto
MZD5M17,1754017538505,CAM101,1,-28.652139,-49.339686,2025-08-01 03:05:38,True,6,Hyundai,Creta,SUV,preto
FCW1O81,1754017540022,CAM043,2,-26.341687,-48.827715,2025-08-01 03:05:40,False,2,Suzuki,Yes 125,moto,amarelo
AHL0E51,1754017547796,CAM114,4,-27.796459,-50.323617,2025-08-01 03:05:47,False,2,Ford,EcoSport,SUV,branco
MCW9P97,1754017551025,CAM131,4,-27.629418,-48.64674,2025-08-01 03:05:51,False,3,Toyota,Hilux,utilitário,prata
FQE5F50,1754017551437,CAM014,4,-27.608198,-48.536828,2025-08-01 03:05:51,False,0,Yamaha,Fazer 250,moto,preto
EEG1C95,1754017551778,CAM184,2,-26.865427,-52.423972,2025-08-01 03:05:51,False,2,Fiat,Uno,passeio,prata
MYA9C07,1754017553012,CAM186,1,-26.917919,-52.380932,2025-08-01 03:05:53,False,3,Chevrolet,Prisma,passeio,preto
LVM3C43,1754017554313,CAM143,3,-27.022562,-48.665405,2025-08-01 03:05:54,False,2,Jeep,Compass,SUV,preto
UBM5T69,1754017562000,CAM080,1,-26.930488,-48.708528,2025-08-01 03:06:02,False,2,Honda,HR-V,SUV,prata
MHE7Z14,1754017562177,CAM044,4,-26.322284,-48.850382,2025-08-01 03:06:02,False,0,Renault,Duster,SUV,prata
OSB4U92,1754017562818,CAM160,2,-27.138895,-48.883701,2025-08-01 03:06:02,False,3,Volkswagen,Virtus,passeio,branco
THI3F08,1754017565227,CAM075,1,-27.071356,-52.582829,2025-08-01 03:06:05,False,2,Toyota,Yaris,passeio,branco
